feature,weight,class
picture,1.512640938401129,AI
don,1.5218449059516097,AI
electors,1.6009672349355364,AI
school,1.6196089287284587,AI
want,1.6200763633886401,AI
nasa,1.6288275600689122,AI
vote,1.651479297773663,AI
just,1.6561683761192187,AI
think,1.6634820513350086,AI
voting,1.6888509162662921,AI
reason,1.714595566850156,AI
driving,1.752744135661914,AI
paragraph,1.803273706428121,AI
venus,1.8055116803073719,AI
student,1.829649095247558,AI
going,1.9851742323798443,AI
percent,1.9919142969991466,AI
kids,2.003341134419318,AI
people,2.505082183422051,AI
car,2.8844512643771836,AI
important,-2.9440175641261104,Human
lead,-2.052527512694564,Human
additionally,-1.8888960418015655,Human
skills,-1.8742468420803908,Human
potential,-1.7584969541714035,Human
provide,-1.6426282892535995,Human
learning,-1.6098096251347127,Human
conclusion,-1.5902877055438491,Human
reduce,-1.55843934328954,Human
education,-1.520883538094379,Human
academic,-1.4436872605345483,Human
super,-1.4269532019796665,Human
ensure,-1.4192012583422964,Human
unique,-1.4093345742230006,Human
impact,-1.399750335440753,Human
number,-1.3935574528941943,Human
understanding,-1.3461777882902128,Human
support,-1.3427118098821467,Human
like,-1.2877721321618192,Human
scientific,-1.2781652154380279,Human
